,TCI
2023-08-31,71.20781580031965
2023-09-01,71.09605845223169
2023-09-05,71.04541308545328
2023-09-06,71.12855227048442
2023-09-07,71.1403622017119
2023-09-08,71.30246501828313
2023-09-11,71.12307999750986
2023-09-12,71.03680418613953
2023-09-13,71.04210637183189
2023-09-14,71.01773422316107
2023-09-15,71.24850661425201
2023-09-18,70.32412296722356
2023-09-19,70.35092409646967
2023-09-20,70.40538693881227
2023-09-21,70.35574033471423
2023-09-22,70.18124308578355
2023-09-25,70.19386515393496
2023-09-26,70.42248552837637
2023-09-27,70.29927743020662
2023-09-28,70.14020642911608
2023-09-29,70.23691354776746
2023-10-02,69.99561196662933
2023-10-03,69.67235175931668
2023-10-04,69.3261275924087
2023-10-05,69.05991954107698
2023-10-06,69.22309881800156
2023-10-09,68.99860053741077
2023-10-10,68.91618096612224
2023-10-11,68.67477009667593
2023-10-12,69.01699825542401
2023-10-13,68.647055128658
2023-10-16,68.17946091336478
2023-10-17,68.14749918434275
2023-10-18,68.39250829208015
2023-10-19,68.59556971425982
2023-10-20,68.78588675719539
2023-10-23,67.80348585669364
2023-10-24,68.00187760445493
2023-10-25,67.92504861724059
2023-10-26,67.56806643477375
2023-10-27,67.75349780444571
2023-10-30,67.70518302808827
2023-10-31,67.90520758901587
2023-11-01,67.18649431037262
2023-11-02,68.14576779065436
2023-11-03,67.66581308106883
2023-11-06,67.54257439725507
2023-11-07,67.51553369742808
2023-11-08,67.51974397247041
2023-11-09,67.54589843685352
2023-11-10,67.86894147156553
2023-11-13,67.6931312929104
2023-11-14,67.93900234013948
2023-11-15,67.91781132506996
2023-11-16,68.13758953747816
2023-11-17,68.0528853624039
2023-11-20,68.09256131744381
2023-11-21,68.10050799130599
2023-11-22,67.95681404885921
2023-11-24,67.97274937199475
2023-11-27,68.0514694235949
2023-11-28,68.00876817068252
2023-11-29,68.00970513001005
2023-11-30,68.08505054795387
2023-12-01,67.94348783286674
2023-12-04,68.203542921293
2023-12-05,67.89477145679236
2023-12-06,67.85975316635319
2023-12-07,67.84916710015561
2023-12-08,67.6169362555699
2023-12-11,67.63797941201877
2023-12-12,67.5163271462725
2023-12-13,68.2527831703693
2023-12-14,67.75570406020445
2023-12-15,67.64753572827141
2023-12-18,67.65912860878487
2023-12-19,67.10399224787483
2023-12-20,67.56815135647147
2023-12-21,67.11290805322133
2023-12-22,66.56262935032188
2023-12-26,67.03595507828553
2023-12-27,66.92519140495743
2023-12-28,67.38982509708063
2023-12-29,67.22380113503876
2024-01-02,66.63463198279139
2024-01-03,66.4793734083126
2024-01-04,66.51495792322102
2024-01-05,65.91840033455323
2024-01-08,65.95356877168153
2024-01-09,65.92873875815204
2024-01-10,66.01377410239029
2024-01-11,66.03810250396535
2024-01-12,65.72168645258593
2024-01-16,65.90514819497547
2024-01-17,65.43476289789379
2024-01-18,65.63802927314568
2024-01-19,65.56983902652053
2024-01-22,65.80607961598626
2024-01-23,65.80995371927672
2024-01-24,65.68463953137777
2024-01-25,65.41993454020655
2024-01-26,65.39906270116077
2024-01-29,65.30190423255071
2024-01-30,65.26822455258646
2024-01-31,65.9384576416977
2024-02-01,66.33327786829229
2024-02-02,65.9324303923592
2024-02-05,66.08773035257909
2024-02-06,66.08919266175222
2024-02-07,66.21707537577124
2024-02-08,65.92342855374645
2024-02-09,65.76052455441062
2024-02-12,65.10874380685658
2024-02-13,65.30157179734604
2024-02-14,65.44445321241282
2024-02-15,65.17881577211357
2024-02-16,65.0605237779443
2024-02-20,64.92303096262539
2024-02-21,64.38707285599475
2024-02-22,64.5335821424768
2024-02-23,64.4189216967771
2024-02-26,64.46693104106629
2024-02-27,64.4607542561962
2024-02-28,64.42492496895248
2024-02-29,64.4743925565017
2024-03-01,64.04067000789752
2024-03-04,63.649185743221814
2024-03-05,63.74434006032238
2024-03-06,63.83525049198499
2024-03-07,64.02978971554728
2024-03-08,63.75066975961523
2024-03-11,63.608555934987244
2024-03-12,63.82174682402139
